id,source,noisy_text,clean_text,edit_distance,document_type,error_rate
real_0019,real_ocr,des ) tienen abreviado el mas [e-,des) tienen abreviado el mas se-,1,print_17th_century_spanish,0.031
real_0020,real_ocr,sion para con Dios en la devora,gion para con Dios en la devota,2,print_17th_century_spanish,0.065
real_0021,real_ocr,aísiftécia: a los Templos sla piedad,assistencia a los Templos; la piedad,6,print_17th_century_spanish,0.167
real_0022,real_ocr,con los Padres en la obediencia,con los Padres en la obediencia,0,print_17th_century_spanish,0.0
real_0023,real_ocr,"mas rendida; ¡la modelftia, y","mas rendida; y la modestia, y de-",6,print_17th_century_spanish,0.182
real_0024,real_ocr,"feo de faber $? con los mayores,","seo de saber, con los mayores,",4,print_17th_century_spanish,0.133
real_0025,real_ocr,"—— guflando mas de 'oÍr, y pregnn-","gustando mas de oir, y pregun-",7,print_17th_century_spanish,0.233
real_0026,real_ocr,Luc. ibid. tar que de definir. y refolver.Bien,"tar, que de definir, y resolver. Bien",12,print_17th_century_spanish,0.324
real_0027,real_ocr,que efto en vueltra infinita. Sabl-,que esto en vuestra infinita Sabi-,4,print_17th_century_spanish,0.118
real_0028,real_ocr,"duria fué fóberana dignacion , y","duria fue soberana dignacion, y",3,print_17th_century_spanish,0.097
real_0029,real_ocr,en la natural ienorancia de los,en la natural ignorancia de los,1,print_17th_century_spanish,0.032
real_0030,real_ocr,Niños es indifpeníable necefsi-,Niños es indispensable necessi-,3,print_17th_century_spanish,0.097
real_0031,real_ocr,e Ni tienen folamente en Vos,Ni tienen solamente en Vos,2,print_17th_century_spanish,0.077
real_0032,real_ocr,"el difleño , la luz , y el exemplo.","el disseño, la luz, y el exemplo,",3,print_17th_century_spanish,0.091
real_0033,real_ocr,"fino tambien el amor, y protec-","sino tambien el amor, y protec-",1,print_17th_century_spanish,0.032
real_0034,real_ocr,"enis.a tro délos Niños , les dais enten-","tro de los Niños, les dais enten-",7,print_17th_century_spanish,0.212
real_0035,real_ocr,"fenb.19. dimiento , y comunicais la fabi.","dimiento, y comunicais la sabi-",10,print_17th_century_spanish,0.323
real_0036,real_ocr,"tarch»10- - de los Cielos , y os indignais con","de los Cielos, y os indignais con",10,print_17th_century_spanish,0.303
real_0037,real_ocr,"quien les aparta de Vos, y les","quien les aparta de Vos, y les",0,print_17th_century_spanish,0.0
real_0038,real_ocr,"dor, inocencia , y chriltiana na-","dor, inocencia, y christiana hu-",3,print_17th_century_spanish,0.094
real_0039,real_ocr,mildad Vuelteoa amor narece que,mildad. Vuestro amor parece que,5,print_17th_century_spanish,0.161
real_0040,real_ocr,"no pudo explicarle mas tierno, y.","no pudo explicarse mas tierno, y",2,print_17th_century_spanish,0.062
real_0041,real_ocr,"liberal con los Niños , Pues no","liberal con los Niños, pues no",0,print_17th_century_spanish,0.0
real_0042,real_ocr,contento de echarles vueltras dia,contento de echarles vuestras di-,2,print_17th_century_spanish,0.061
real_0043,real_ocr,"divinás bendiciones, les unifteis","vinas bendiciones, les unisteis",4,print_17th_century_spanish,0.129
real_0044,real_ocr,a vueftro fagrado pecho con Ína-,a vuestro sagrado pecho con sua-,4,print_17th_century_spanish,0.125
real_0045,real_ocr,"vilsimos abrazos. Dichola edad, “a”","vissimos abrazos. Dichosa edad,",5,print_17th_century_spanish,0.161
real_0046,real_ocr,que Os merccio tan regalados Ca-,que os merecio tan regalados cariños!,7,print_17th_century_spanish,0.189
real_0047,real_ocr,Y pues en la celeftial Jeru-,Y pues en la celestial Jeru-,1,print_17th_century_spanish,0.036
real_0048,real_ocr,falten ne ha mudado de condicion,salen no ha mudado de condicion,3,print_17th_century_spanish,0.097
real_0049,real_ocr,"vueítra Benignidad , proleguid,","vuestra Benignidad, proseguid,",2,print_17th_century_spanish,0.067
real_0050,real_ocr,"% Niño tierno, y Dios Eterno,","o Niño tierno, y Dios Eterno,",1,print_17th_century_spanish,0.034
real_0051,real_ocr,"profeguid en bendecirles, y favo-","proseguid en bendecirles, y favo-",1,print_17th_century_spanish,0.03
real_0052,real_ocr,"ecerles, Sean tan fervorolamen-",recerles. Sean tan fervorosamen-,3,print_17th_century_spanish,0.094
real_0053,real_ocr,te devotos de vueítra Admirable “az,te devotos de vuestra Admirable,4,print_17th_century_spanish,0.129
real_0054,real_ocr,"hijos , y hermanos de leche con","hijos, y hermanos de leche con",0,print_17th_century_spanish,0.0
real_0055,real_ocr,"Vos. Serán fabios, Gi fueren cal- 5%","Vos. Seran sabios, si fueren cas-",6,print_17th_century_spanish,0.182
real_0056,real_ocr,tos < que no entra vueltra Sabiz,tos; que no entra vuestra Sabi-,3,print_17th_century_spanish,0.097
real_0057,real_ocr,- duría donde no ay mucha pure-,"duria, donde no ay mucha pure-",3,print_17th_century_spanish,0.1
real_0058,real_ocr,za de conciencia. Crezcan en,za de conciencia. Crezcan en,0,print_17th_century_spanish,0.0
real_0059,real_ocr,"vueftro fanto temór, y amor, co-","vuestro santo temor, y amor, co-",3,print_17th_century_spanish,0.094
real_0060,real_ocr,"como en los años,y mucho mas.","como en los años, y mucho mas.",0,print_17th_century_spanish,0.0
real_0061,real_ocr,"Adelantenfíe en la virtud , como","Adelantense en la virtud, como",2,print_17th_century_spanish,0.067
real_0062,real_ocr,"en las letras, y mucho mas; hal- 4%","en las letras, y mucho mas; has-",3,print_17th_century_spanish,0.094
real_0063,real_ocr,ta que lleguen . pot vueítra imi- 4,"ta que lleguen, por vuesetra imi-",5,print_17th_century_spanish,0.152
real_0064,real_ocr,"tacion , 2 fer varones perfedos,","tacion, a ser varones perfectos,",4,print_17th_century_spanish,0.125
real_0065,real_ocr,"y confumados , agradables","y consumados, agradables a",2,print_17th_century_spanish,0.077
real_0066,real_ocr,"vueltros ojos , y provechofos","vuestros ojos, y provechosos a",3,print_17th_century_spanish,0.1
real_0067,real_ocr,"la Republica , que libra cafi to-","la Republica, que libra casi to-",1,print_17th_century_spanish,0.031
real_0068,real_ocr,da lu felizidad en la acerca,da su felizidad en la acertada,4,print_17th_century_spanish,0.133
real_0069,real_ocr,"eriánzá de la Niñez, Afsi fea;","crianza de la niñez. Assi sea,",7,print_17th_century_spanish,0.233
real_0070,real_ocr,"Divinifsimo Niño , por vuefítra","Divinissimo Niño, por vuestra",3,print_17th_century_spanish,0.103
real_0071,real_ocr,"eracia , aísí lea, a vueltra m:","gracia, assi sea, a vuestra ma-",7,print_17th_century_spanish,0.226
real_0072,real_ocr,CENSURA DEL R. P. ANTONIO,CENSURA DEL R. P. ANTONIO CO-,3,print_17th_century_spanish,0.103
real_0073,real_ocr,"> dormlu de la Compañia de Fefus, Mae/","dorniu de la Compañía de jesus, Maes-",8,print_17th_century_spanish,0.216
real_0074,real_ocr,"ero que fué de Theología , Examinado","tro que fue de Theologia, Examinador",4,print_17th_century_spanish,0.111
real_0075,real_ocr,"3 Retende doña Catalina,quedó An-","Pretende doña Catalina, que don An-",3,print_17th_century_spanish,0.086
real_0076,real_ocr,MÉ- tonio ha de fer condenado a ú a,tonio ha de ser condenado a q avien,9,print_17th_century_spanish,0.257
real_0077,real_ocr,"N dofele.quitado el habito, € inGedias","dosele quitado el habito, e insignias",8,print_17th_century_spanish,0.216
real_0078,real_ocr,HA AA,C O N,4,print_17th_century_spanish,0.8
real_0079,real_ocr,"A de la Orden,fca entregado a la juftis","de la Orden, sea entregado a la justi-",5,print_17th_century_spanish,0.132
real_0080,real_ocr,"lar, para que feexecute en El","cia seglar, para que se execute en el",7,print_17th_century_spanish,0.189
real_0081,real_ocr,"ASS la pena de muerte, porlos delitos 4","la pena de muerte, por los delitos q",4,print_17th_century_spanish,0.111
real_0082,real_ocr,"que concedietic ent róludead,y pata clto, y violar fa","que concedielle en su voluntad, y para esto, y violar su",13,print_17th_century_spanish,0.232
real_0083,real_ocr,"caltidad,auer quebrantado To.cafa endo de muy Luci","castidad, aver quebrantado su casa, siendo de muy luci-",11,print_17th_century_spanish,0.2
real_0084,real_ocr,da nobleza y calidad /entraddoien ella denoche a del.,"da nobleza y calidad, entrando en ella denoche a des-",4,print_17th_century_spanish,0.075
real_0085,real_ocr,tras para el mifalo efero.y (MABEñdOL preñada dadole,"tras para el mismo efeto, y sintiendola preñada dadole",13,print_17th_century_spanish,0.241
real_0086,real_ocr,"recetas de beuidás para Gabortalla.Y fobre todo,auien","recetas de bevidas para q abortasse. Y sobre todo, avien",7,print_17th_century_spanish,0.125
real_0087,real_ocr,"dicha deshonra, y tratando de remedialla con Íecre:","dicha deshonra, y tratando de remedialla con secreto,",1,print_17th_century_spanish,0.019
real_0088,real_ocr,o A o,pel.,4,print_17th_century_spanish,1.0
real_0089,real_ocr,el dicho don Anvbnio por asinjuridllks dixo,el dicho don Antonio por mas injurialles dixo por un,7,print_17th_century_spanish,0.135
real_0090,real_ocr,"[e con lo hija, y que eftana arrepentido de aucllo dicho,","se con su hija, y que estava arrepentido de auello dicho.",6,print_17th_century_spanish,0.105
real_0091,real_ocr,Ywlcipameñte-para impedillécl reparoddránro; a,Y ultimamente para impedille el reparo de tantos a-,12,print_17th_century_spanish,0.235
real_0092,real_ocr,"gravios le quitó la vida,paffandole de vna ellocada Je","gravios le quito la vida, passandole de una estocada, de",6,print_17th_century_spanish,0.107
real_0093,real_ocr,OS o,litos.,4,print_17th_century_spanish,0.667
real_0094,real_ocr,"2 Y poraucr pocos dias que fa yio.éltepleyto. vela,","Y por aver pocos dias que se vio este pleyto, y estar",13,print_17th_century_spanish,0.245
real_0095,real_ocr,"trelca la memoria de la pronágarde los dichos delitos,","fresca la memoria de la provança de los dichos delitos,",7,print_17th_century_spanish,0.127
real_0096,real_ocr,"en que no quedo duda, fé tratara folamen teen che Po,","en que no quedo duda, se tratara solamente en este pa-",6,print_17th_century_spanish,0.111
real_0097,real_ocr,"pide, demas del («or Fife.","pide, demas del señor Fiscal.",7,print_17th_century_spanish,0.241
real_0098,real_ocr,delos.dosbijos.que quedaton de Marco-Antonio de,de los dos hijos que quedaron de Marco – Antonio de,7,print_17th_century_spanish,0.137
real_0099,real_ocr,"2. Peso elte-difcurlo repugnaa la jurifprudencia, y ala","Pero este discurso repugna a la jurisprudencia, y a la",11,print_17th_century_spanish,0.204
real_0100,real_ocr,""" efolucionemas alfentada gueay en elle Reyno.",resolucion mas assentada que ay en este Reyno.,8,print_17th_century_spanish,0.174
real_0101,real_ocr,"aculaciomde la muerte del marido , y demas ¿50","acusacion de la muerte del marido, y demas agravios",7,print_17th_century_spanish,0.137
real_0102,real_ocr,"hechos a fircala, fío que los hijos(quádo huuierana","hechos a su casa, sin que los hijos (quando huvieran acu-",10,print_17th_century_spanish,0.175
real_0103,real_ocr,€. 1amuedan concurrir con-<lla; ni ferparte parare:,"sado) puedan concurrir con ella, ni ser parte para remi-",10,print_17th_century_spanish,0.179
real_0104,real_ocr,cir lamnesrascómoloalsientan losáncores qadelanto,"tir la muerte, como lo assientan los Autores q adelante",11,print_17th_century_spanish,0.2
real_0105,real_ocr,"(e: citarán, fundados,en-la. razon de que elderecho:de","se citaran, fundadas en la razon de que el derecho de",11,print_17th_century_spanish,0.208
real_0106,real_ocr,"de (uímuerte:a los. hijas» y3 tad os Losd emas Ecua ,","de su muerte a los hijos, y a todos los demas consangui-",13,print_17th_century_spanish,0.232
real_0107,real_ocr,"junta que ellasSc lane vnares, $ vnum fuppotituras cs","junta que ella, & sunevnares, & vnum fuppofitum, c.",8,print_17th_century_spanish,0.157
real_0108,real_ocr,"gáudemas de divorcijs., iusta illud Pauli, eran duo 47","gaudemus de divorcijs, iuxtra illud Pauli, erunt duo in",6,print_17th_century_spanish,0.109
real_0109,real_ocr,"carné unataque iamnon fant duo, feduna caro, ácica","carne una, itaque iam non sune duo, fedunacaro, & ita",8,print_17th_century_spanish,0.151
real_0110,real_ocr,"nulla maior ynio, quam coniogalis ,narocius divina","nulla maior unio, quam coniugalis, nam ius divinum",7,print_17th_century_spanish,0.14
real_0111,real_ocr,"confiticinveritate«Scnoninictione, Se ct fociadi.","consistit in veritate, & non infictione, & est focia vi-",10,print_17th_century_spanish,0.179
real_0112,real_ocr,pil.horedic.S matrimoni um disrare dic Ieu vno €,pil. heredit. & matrimonium durare dicitur vno eorum,7,print_17th_century_spanish,0.135
real_0113,real_ocr,"bus,collac,s.Y asi vemios,quelos privilegios cos","bus, collat. 8. Y assi vemos, que los privilegios concedi-",5,print_17th_century_spanish,0.086
real_0114,real_ocr,"305 al marida,quantoquiera que fean perfonalifsi","dos al marido, quantoquiera que sean personalissimos,",6,print_17th_century_spanish,0.113
real_0115,real_ocr,"como el del fuero, y otros que fe dan a la perlona,ratio","como el del fuero, y otros que se dan a la persona, ratio",2,print_17th_century_spanish,0.035
real_0116,real_ocr,"ncofficij,vel alias. los gozalla muger, y no los hijos ,].","ne officij, vel alias, los goza la muger, y no los hijos, I.",4,print_17th_century_spanish,0.067
real_0117,real_ocr,mulicros¿C.de dignitatibos lib.:0.Y en la viuda G vic=,"mulieres, C. de dignitatibus lib. ro. Y en la viuda q vie-",6,print_17th_century_spanish,0.103
real_0118,real_ocr,"“nc a:quedas fola y defamparada,, por faltalle la mitad","ne a quedar sola y desamparada, por faltalle la mitad",10,print_17th_century_spanish,0.189
real_0119,real_ocr,defu perfona fe conBdesa mayor Interes y dano en,"de su persona, se considera mayor interes y daño en la",10,print_17th_century_spanish,0.185
real_0120,real_ocr,"mútrte de (u marido,.quees ta nfpeccion que hizo €","muerte de su marido, que es la inspreccion que hizo el",9,print_17th_century_spanish,0.167
real_0121,real_ocr,"> fido collul.detegen.ibi:Cóinsmagis interef. ""20",ff. de colls. detegen. ibi: Cuius magis interest.,8,print_17th_century_spanish,0.163
real_0122,real_ocr,5 Poreflasrazones y otraslo asientan por indubita:,Por estas razones y otras lo assientan por indubita-,4,print_17th_century_spanish,0.077
real_0123,real_ocr,"[qui fant,crodite Villalpaniad].'22. tit.1+p:711","siqui sunt, crudite Villalpan. adl. 22. tit. I. p. 7. patt. 2.",10,print_17th_century_spanish,0.161
real_0124,real_ocr,cap. 1. num.32:80 clarius dóminus Prefes Antonio d,cap. I. num. 32. & clarius dominus Praeses Antonio de,7,print_17th_century_spanish,0.132
real_0125,real_ocr,"Padilla ind.tranfecre,nu.s7C. derranfict hiswerbis:","Padilla inI. transigere, nu. 57. C. de transact. his verbis:",12,print_17th_century_spanish,0.2
real_0126,real_ocr,AS A,Fiscal.,5,print_17th_century_spanish,0.714
real_0127,real_ocr,"In quo jlladiopraxinotabis,quod uxor bómimisiocei(s ce","In quo illud in praxi notabis, quod uxor hominis occisi ce",6,print_17th_century_spanish,0.103
real_0128,real_ocr,"fétur propinquior per/ona ad aceufandis, ES tranfigendis;","setur propinquior persona ad accusandu, & transigendu;",11,print_17th_century_spanish,0.204
real_0129,real_ocr,quoniamin illa concorrant maior coniuntlio CS” affochio:,quoniam in illa concurrunt maior coniunctio & affectio,6,print_17th_century_spanish,0.111
real_0130,real_ocr,quam in cateris; funt enim dao illi in carne onasc:gandes,"quam in cateris, sunt enim duo illi in carne una, c. gaude-",5,print_17th_century_spanish,0.085
real_0131,real_ocr,"rémrelinquar illa e pomnibas confanguintis , ES inereal",rem relinquat illa est omnibus consanguineis. ? heredi-,9,print_17th_century_spanish,0.164
real_0132,real_ocr,"bus preferenda,8clare difputans Flores de Menaslibar.","bus preferenda, & late disputans Flores de Mena, lib. I.",5,print_17th_century_spanish,0.089
real_0133,real_ocr,"q-7. 4 mum, 7. Yes la cola masrecebidá que ay en los",q. 7. a num. 7. Y es la cosa mas recebida que ay en los,6,print_17th_century_spanish,0.109
real_0134,real_ocr,"Tribunales defte Reyno, y fe prueva ab ordine litermin","Tribunales deste Reyno, y se prueva ab ordine literae in",2,print_17th_century_spanish,0.036
real_0135,real_ocr,1.14.tit:8.p.7.dicens: Fater puede la muger acufácion de,I. 14. tit. 8. p. 7. dicens: Facer puede la muger acusacion de,3,print_17th_century_spanish,0.048
real_0136,real_ocr,"muerte de la marido, e el marido dela muerte de fi vniú=","muerte de su marido, e el marido de la muerte de su mu-",4,print_17th_century_spanish,0.073
real_0137,real_ocr,"ger,celpadre aeb fi), 1 el fyodel paare, donde le","ger, e el padre del fijo, e el fyo del padre, donde se puso en",8,print_17th_century_spanish,0.129
real_0138,real_ocr,"primer! ugarla muger, que los:hijos > m1 los padr","primer lugar la muger, que los hijos, ni los padres del",6,print_17th_century_spanish,0.109
real_0139,real_ocr,muerto: yes conclulionaflentada y recebidaca pratica,muerto: y es conclusion assentada y recebida en pratica,5,print_17th_century_spanish,0.091
syn_0000,synthetic,INFINI-TAMENTE AMABLE,INFINITAMENTE AMABLE,-1,synthetic_17th_century_spanish,-1
syn_0001,synthetic,INFINITMENLE AMABLE,INFINITAMENTE AMABLE,-1,synthetic_17th_century_spanish,-1
syn_0002,synthetic,INFI-NITAMENTE AMABLE,INFINITAMENTE AMABLE,-1,synthetic_17th_century_spanish,-1
syn_0003,synthetic,INFINÍTAMENTE AMABLE,INFINITAMENTE AMABLE,-1,synthetic_17th_century_spanish,-1
syn_0004,synthetic,INFINITAMENTE.AMEBLE,INFINITAMENTE AMABLE,-1,synthetic_17th_century_spanish,-1
syn_0005,synthetic,INFINITAM:ENT MABL,INFINITAMENTE AMABLE,-1,synthetic_17th_century_spanish,-1
syn_0006,synthetic,INrFINITArnENTE AMÁBE,INFINITAMENTE AMABLE,-1,synthetic_17th_century_spanish,-1
syn_0007,synthetic,INFINITAMENTE-OMOBLE,INFINITAMENTE AMABLE,-1,synthetic_17th_century_spanish,-1
syn_0008,synthetic,LNFINITAMCTE AMABLE,INFINITAMENTE AMABLE,-1,synthetic_17th_century_spanish,-1
syn_0009,synthetic,INFIUITANLE AMABLE,INFINITAMENTE AMABLE,-1,synthetic_17th_century_spanish,-1
syn_0010,synthetic,IN-FINIfTAMENTE ÁMOBLE,INFINITAMENTE AMABLE,-1,synthetic_17th_century_spanish,-1
syn_0011,synthetic,LNFINITAMENRE ÁMABLfO,INFINITAMENTE AMABLE,-1,synthetic_17th_century_spanish,-1
syn_0012,synthetic,NIÑO JEFUS.,NIÑO JESUS.,-1,synthetic_17th_century_spanish,-1
syn_0013,synthetic,NIÑO JESUS.,NIÑO JESUS.,-1,synthetic_17th_century_spanish,-1
syn_0014,synthetic,NIÑO JESUS.,NIÑO JESUS.,-1,synthetic_17th_century_spanish,-1
syn_0015,synthetic,N1ÑO JESUS.,NIÑO JESUS.,-1,synthetic_17th_century_spanish,-1
syn_0016,synthetic,NIÑO JESUS.,NIÑO JESUS.,-1,synthetic_17th_century_spanish,-1
syn_0017,synthetic,NIÑO JESUS.,NIÑO JESUS.,-1,synthetic_17th_century_spanish,-1
syn_0018,synthetic,NIÑO JESUS.,NIÑO JESUS.,-1,synthetic_17th_century_spanish,-1
syn_0019,synthetic,IÑO JEFUS.,NIÑO JESUS.,-1,synthetic_17th_century_spanish,-1
syn_0020,synthetic,NIÑO eEFUS.,NIÑO JESUS.,-1,synthetic_17th_century_spanish,-1
syn_0021,synthetic,NLO JESUS.,NIÑO JESUS.,-1,synthetic_17th_century_spanish,-1
syn_0022,synthetic,NIÑOJSiUS.,NIÑO JESUS.,-1,synthetic_17th_century_spanish,-1
syn_0023,synthetic,NÑfOJSUS.,NIÑO JESUS.,-1,synthetic_17th_century_spanish,-1
syn_0024,synthetic,"A Vos, Dulciss1mo Niño","A Vos, Dulcissimo Niño",-1,synthetic_17th_century_spanish,-1
syn_0025,synthetic,"A Vos, Dulcissimo Niño","A Vos, Dulcissimo Niño",-1,synthetic_17th_century_spanish,-1
syn_0026,synthetic,"A Vos, Dulc1ssimo Niño","A Vos, Dulcissimo Niño",-1,synthetic_17th_century_spanish,-1
syn_0027,synthetic,A Vos DulcissimoNiño,"A Vos, Dulcissimo Niño",-1,synthetic_17th_century_spanish,-1
syn_0028,synthetic,"Á Vol, Dulcissimo Niño","A Vos, Dulcissimo Niño",-1,synthetic_17th_century_spanish,-1
syn_0029,synthetic,"A Vos, Dulcissim Níño","A Vos, Dulcissimo Niño",-1,synthetic_17th_century_spanish,-1
syn_0030,synthetic,"A Vos, Dulcissimo Niño","A Vos, Dulcissimo Niño",-1,synthetic_17th_century_spanish,-1
syn_0031,synthetic,"A Vos, clalcissimo Nrio","A Vos, Dulcissimo Niño",-1,synthetic_17th_century_spanish,-1
syn_0032,synthetic,"A Vosf, cluleissrno.Niño","A Vos, Dulcissimo Niño",-1,synthetic_17th_century_spanish,-1
syn_0033,synthetic,"AVos, Du-lciislim Niñó","A Vos, Dulcissimo Niño",-1,synthetic_17th_century_spanish,-1
syn_0034,synthetic,"O Vos, clulc1ssimo Níñ","A Vos, Dulcissimo Niño",-1,synthetic_17th_century_spanish,-1
syn_0035,synthetic,A-Vós -Dnlcissimo.Nño,"A Vos, Dulcissimo Niño",-1,synthetic_17th_century_spanish,-1
syn_0036,synthetic,"JESUS, que no solo os","JESUS, que no solo os",-1,synthetic_17th_century_spanish,-1
syn_0037,synthetic,"JESUS, que no solo os","JESUS, que no solo os",-1,synthetic_17th_century_spanish,-1
syn_0038,synthetic,"JESUS, que no solo os","JESUS, que no solo os",-1,synthetic_17th_century_spanish,-1
syn_0039,synthetic,"JESUS, que no solo o s","JESUS, que no solo os",-1,synthetic_17th_century_spanish,-1
syn_0040,synthetic,"JESUS, que no solo os","JESUS, que no solo os",-1,synthetic_17th_century_spanish,-1
syn_0041,synthetic,"JESUS, quee no solo os","JESUS, que no solo os",-1,synthetic_17th_century_spanish,-1
syn_0042,synthetic,"JESAS, queno solro os","JESUS, que no solo os",-1,synthetic_17th_century_spanish,-1
syn_0043,synthetic,"JESfUS, que noslo os","JESUS, que no solo os",-1,synthetic_17th_century_spanish,-1
syn_0044,synthetic,"JESUS, que no solo os","JESUS, que no solo os",-1,synthetic_17th_century_spanish,-1
syn_0045,synthetic,"JESUS, que no olc ros","JESUS, que no solo os",-1,synthetic_17th_century_spanish,-1
syn_0046,synthetic,"JEFUS, qu.c nosoloos","JESUS, que no solo os",-1,synthetic_17th_century_spanish,-1
syn_0047,synthetic,"JESUS, que rió solo of","JESUS, que no solo os",-1,synthetic_17th_century_spanish,-1
syn_0048,synthetic,dignastei de llamaros,dignasteis de llamaros,-1,synthetic_17th_century_spanish,-1
syn_0049,synthetic,dignasteisdc llamaros,dignasteis de llamaros,-1,synthetic_17th_century_spanish,-1
syn_0050,synthetic,dignasteis de llamaros,dignasteis de llamaros,-1,synthetic_17th_century_spanish,-1
syn_0051,synthetic,dignosteiilde  llamarof,dignasteis de llamaros,-1,synthetic_17th_century_spanish,-1
syn_0052,synthetic,clignsteisde llamaros,dignasteis de llamaros,-1,synthetic_17th_century_spanish,-1
syn_0053,synthetic,dignasteis de llamoros,dignasteis de llamaros,-1,synthetic_17th_century_spanish,-1
syn_0054,synthetic,dignasteis cle llam-aros,dignasteis de llamaros,-1,synthetic_17th_century_spanish,-1
syn_0055,synthetic,clignasteis de llamanos,dignasteis de llamaros,-1,synthetic_17th_century_spanish,-1
syn_0056,synthetic,dignasteis de lamros,dignasteis de llamaros,-1,synthetic_17th_century_spanish,-1
syn_0057,synthetic,dignafteis de llámaros,dignasteis de llamaros,-1,synthetic_17th_century_spanish,-1
syn_0058,synthetic,dignasteif de.llamaros,dignasteis de llamaros,-1,synthetic_17th_century_spanish,-1
syn_0059,synthetic,dignasc1s de llomareos,dignasteis de llamaros,-1,synthetic_17th_century_spanish,-1
syn_0060,synthetic,"Doctor de los Niño,","Doctor de los Niños,",-1,synthetic_17th_century_spanish,-1
syn_0061,synthetic,"Doctor de lós Niños,","Doctor de los Niños,",-1,synthetic_17th_century_spanish,-1
syn_0062,synthetic,"Doctor de los Niños,","Doctor de los Niños,",-1,synthetic_17th_century_spanish,-1
syn_0063,synthetic,"Doctor de los Niños,","Doctor de los Niños,",-1,synthetic_17th_century_spanish,-1
syn_0064,synthetic,"Doc.tor de los Niños,","Doctor de los Niños,",-1,synthetic_17th_century_spanish,-1
syn_0065,synthetic,"Doctordo los Nios,","Doctor de los Niños,",-1,synthetic_17th_century_spanish,-1
syn_0066,synthetic,"Doctor e los Niños,","Doctor de los Niños,",-1,synthetic_17th_century_spanish,-1
syn_0067,synthetic,"cloctor delos riiños,","Doctor de los Niños,",-1,synthetic_17th_century_spanish,-1
syn_0068,synthetic,"Doctor e los N1ños,","Doctor de los Niños,",-1,synthetic_17th_century_spanish,-1
syn_0069,synthetic,"Doctor de lofs Nlños,","Doctor de los Niños,",-1,synthetic_17th_century_spanish,-1
syn_0070,synthetic,"Dolor de- los N iños,","Doctor de los Niños,",-1,synthetic_17th_century_spanish,-1
syn_0071,synthetic,"clctor de los Nñosa,","Doctor de los Niños,",-1,synthetic_17th_century_spanish,-1
syn_0072,synthetic,sino también d asis-,sino también de assis-,-1,synthetic_17th_century_spanish,-1
syn_0073,synthetic,sino también de assis-,sino también de assis-,-1,synthetic_17th_century_spanish,-1
syn_0074,synthetic,sino también de alsis-,sino también de assis-,-1,synthetic_17th_century_spanish,-1
syn_0075,synthetic,sinotaamb.ién.de assis-,sino también de assis-,-1,synthetic_17th_century_spanish,-1
syn_0076,synthetic,io también de ssis-,sino también de assis-,-1,synthetic_17th_century_spanish,-1
syn_0077,synthetic,sino también cle assis-,sino también de assis-,-1,synthetic_17th_century_spanish,-1
syn_0078,synthetic,lino tarnbinén cleossis.-,sino también de assis-,-1,synthetic_17th_century_spanish,-1
syn_0079,synthetic,sinc también de asis-,sino también de assis-,-1,synthetic_17th_century_spanish,-1
